name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Cucumber (खीरा)","Vegetables",15,20,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406070643.jpg","Farm fresh Cucumber (खीरा) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":15,""stock"":50},{""weight"":""500 Gram"",""price"":15,""stock"":50},{""weight"":""1 Kg"",""price"":51,""stock"":50},{""weight"":""2 Kg"",""price"":98,""stock"":50},{""weight"":""5 Kg"",""price"":233,""stock"":50}]"
"Drumstick (मुनगा)","Vegetables",25,33,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406065823.png","Farm fresh Drumstick (मुनगा) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":25,""stock"":50},{""weight"":""500 Gram"",""price"":25,""stock"":50},{""weight"":""1 Kg"",""price"":85,""stock"":50},{""weight"":""2 Kg"",""price"":163,""stock"":50},{""weight"":""5 Kg"",""price"":388,""stock"":50}]"
"Fenugreek (मेंथी)","Vegetables",25,33,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406065923.jpg","Farm fresh Fenugreek (मेंथी) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":25,""stock"":50},{""weight"":""500 Gram"",""price"":25,""stock"":50},{""weight"":""1 Kg"",""price"":85,""stock"":50},{""weight"":""2 Kg"",""price"":163,""stock"":50},{""weight"":""5 Kg"",""price"":388,""stock"":50}]"
"Garlic (धनिया)","Vegetables",90,117,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406064051.jpg","Farm fresh Garlic (धनिया) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":90,""stock"":50},{""weight"":""500 Gram"",""price"":90,""stock"":50},{""weight"":""1 Kg"",""price"":306,""stock"":50},{""weight"":""2 Kg"",""price"":585,""stock"":50},{""weight"":""5 Kg"",""price"":1395,""stock"":50}]"
"Ginger (अदरक)","Vegetables",40,52,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406064117.jpg","Farm fresh Ginger (अदरक) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":40,""stock"":50},{""weight"":""500 Gram"",""price"":40,""stock"":50},{""weight"":""1 Kg"",""price"":136,""stock"":50},{""weight"":""2 Kg"",""price"":260,""stock"":50},{""weight"":""5 Kg"",""price"":620,""stock"":50}]"
"Green brinjal","Vegetables",15,20,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406064235.jpg","Farm fresh Green brinjal directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":15,""stock"":50},{""weight"":""500 Gram"",""price"":15,""stock"":50},{""weight"":""1 Kg"",""price"":51,""stock"":50},{""weight"":""2 Kg"",""price"":98,""stock"":50},{""weight"":""5 Kg"",""price"":233,""stock"":50}]"
"Green Chili (हरी मिर्च)","Vegetables",40,52,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406064552.jpg","Farm fresh Green Chili (हरी मिर्च) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":40,""stock"":50},{""weight"":""500 Gram"",""price"":40,""stock"":50},{""weight"":""1 Kg"",""price"":136,""stock"":50},{""weight"":""2 Kg"",""price"":260,""stock"":50},{""weight"":""5 Kg"",""price"":620,""stock"":50}]"
"Green Mango (हरा आम)","Fruits",25,33,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406064414.png","Farm fresh Green Mango (हरा आम) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":25,""stock"":50},{""weight"":""500 Gram"",""price"":25,""stock"":50},{""weight"":""1 Kg"",""price"":85,""stock"":50},{""weight"":""2 Kg"",""price"":163,""stock"":50},{""weight"":""5 Kg"",""price"":388,""stock"":50}]"
"Green onion (हरी प्याज)","Vegetables",15,20,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406065421.jpg","Farm fresh Green onion (हरी प्याज) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":15,""stock"":50},{""weight"":""500 Gram"",""price"":15,""stock"":50},{""weight"":""1 Kg"",""price"":51,""stock"":50},{""weight"":""2 Kg"",""price"":98,""stock"":50},{""weight"":""5 Kg"",""price"":233,""stock"":50}]"
"Kundru (कुंदरू)","Vegetables",20,26,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406071035.jpg","Farm fresh Kundru (कुंदरू) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":20,""stock"":50},{""weight"":""500 Gram"",""price"":20,""stock"":50},{""weight"":""1 Kg"",""price"":68,""stock"":50},{""weight"":""2 Kg"",""price"":130,""stock"":50},{""weight"":""5 Kg"",""price"":310,""stock"":50}]"
"Ladyfinger (भिंडी)","Vegetables",20,26,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406064613.jpg","Farm fresh Ladyfinger (भिंडी) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":20,""stock"":50},{""weight"":""500 Gram"",""price"":20,""stock"":50},{""weight"":""1 Kg"",""price"":68,""stock"":50},{""weight"":""2 Kg"",""price"":130,""stock"":50},{""weight"":""5 Kg"",""price"":310,""stock"":50}]"
"lemon (नींबू)","Vegetables",75,98,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406064655.jpg","Farm fresh lemon (नींबू) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":75,""stock"":50},{""weight"":""500 Gram"",""price"":75,""stock"":50},{""weight"":""1 Kg"",""price"":255,""stock"":50},{""weight"":""2 Kg"",""price"":488,""stock"":50},{""weight"":""5 Kg"",""price"":1163,""stock"":50}]"
"Mushroom (मशरूम)","Exotics",100,130,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406064817.jpg","Farm fresh Mushroom (मशरूम) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":100,""stock"":50},{""weight"":""500 Gram"",""price"":100,""stock"":50},{""weight"":""1 Kg"",""price"":340,""stock"":50},{""weight"":""2 Kg"",""price"":650,""stock"":50},{""weight"":""5 Kg"",""price"":1550,""stock"":50}]"
"Onion (प्याज)","Vegetables",12,16,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406070216.jpg","Farm fresh Onion (प्याज) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":12,""stock"":50},{""weight"":""500 Gram"",""price"":12,""stock"":50},{""weight"":""1 Kg"",""price"":41,""stock"":50},{""weight"":""2 Kg"",""price"":78,""stock"":50},{""weight"":""5 Kg"",""price"":186,""stock"":50}]"
"Potato (आलू )","Vegetables",10,13,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063118.jpg","Farm fresh Potato (आलू ) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":10,""stock"":50},{""weight"":""500 Gram"",""price"":10,""stock"":50},{""weight"":""1 Kg"",""price"":34,""stock"":50},{""weight"":""2 Kg"",""price"":65,""stock"":50},{""weight"":""5 Kg"",""price"":155,""stock"":50}]"
"Pumpkin (कद्दू)","Vegetables",10,13,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406064924.jpg","Farm fresh Pumpkin (कद्दू) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":10,""stock"":50},{""weight"":""500 Gram"",""price"":10,""stock"":50},{""weight"":""1 Kg"",""price"":34,""stock"":50},{""weight"":""2 Kg"",""price"":65,""stock"":50},{""weight"":""5 Kg"",""price"":155,""stock"":50}]"
"Radish (मूली)","Vegetables",20,26,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406065045.jpg","Farm fresh Radish (मूली) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":20,""stock"":50},{""weight"":""500 Gram"",""price"":20,""stock"":50},{""weight"":""1 Kg"",""price"":68,""stock"":50},{""weight"":""2 Kg"",""price"":130,""stock"":50},{""weight"":""5 Kg"",""price"":310,""stock"":50}]"
"Spinach (पालक)","Vegetables",15,20,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406065244.jpg","Farm fresh Spinach (पालक) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":15,""stock"":50},{""weight"":""500 Gram"",""price"":15,""stock"":50},{""weight"":""1 Kg"",""price"":51,""stock"":50},{""weight"":""2 Kg"",""price"":98,""stock"":50},{""weight"":""5 Kg"",""price"":233,""stock"":50}]"
"SPONGE GOURD (गिल्की)","Vegetables",25,33,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406065304.jpg","Farm fresh SPONGE GOURD (गिल्की) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":25,""stock"":50},{""weight"":""500 Gram"",""price"":25,""stock"":50},{""weight"":""1 Kg"",""price"":85,""stock"":50},{""weight"":""2 Kg"",""price"":163,""stock"":50},{""weight"":""5 Kg"",""price"":388,""stock"":50}]"
"Tomato (टमाटर)","Vegetables",20,26,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406065450.jpg","Farm fresh Tomato (टमाटर) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":20,""stock"":50},{""weight"":""500 Gram"",""price"":20,""stock"":50},{""weight"":""1 Kg"",""price"":68,""stock"":50},{""weight"":""2 Kg"",""price"":130,""stock"":50},{""weight"":""5 Kg"",""price"":310,""stock"":50}]"
"Yellow Capsicum (शिमला मिर्च)","Vegetables",60,78,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406065539.jpg","Farm fresh Yellow Capsicum (शिमला मिर्च) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":60,""stock"":50},{""weight"":""500 Gram"",""price"":60,""stock"":50},{""weight"":""1 Kg"",""price"":204,""stock"":50},{""weight"":""2 Kg"",""price"":390,""stock"":50},{""weight"":""5 Kg"",""price"":930,""stock"":50}]"
"Apple (सेब)","Fruits",75,98,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406072025.jpg","Farm fresh Apple (सेब) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":75,""stock"":50},{""weight"":""500 Gram"",""price"":75,""stock"":50},{""weight"":""1 Kg"",""price"":255,""stock"":50},{""weight"":""2 Kg"",""price"":488,""stock"":50},{""weight"":""5 Kg"",""price"":1163,""stock"":50}]"
"Banana (केला)","Fruits",30,39,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406072909.jpg","Farm fresh Banana (केला) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":30,""stock"":50},{""weight"":""500 Gram"",""price"":30,""stock"":50},{""weight"":""1 Kg"",""price"":102,""stock"":50},{""weight"":""2 Kg"",""price"":195,""stock"":50},{""weight"":""5 Kg"",""price"":465,""stock"":50}]"
"Grapes (अंगूर)","Fruits",45,59,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406072609.jpg","Farm fresh Grapes (अंगूर) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":45,""stock"":50},{""weight"":""500 Gram"",""price"":45,""stock"":50},{""weight"":""1 Kg"",""price"":153,""stock"":50},{""weight"":""2 Kg"",""price"":293,""stock"":50},{""weight"":""5 Kg"",""price"":698,""stock"":50}]"
"Mango (आम)","Fruits",55,72,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406073216.jpg","Farm fresh Mango (आम) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":55,""stock"":50},{""weight"":""500 Gram"",""price"":55,""stock"":50},{""weight"":""1 Kg"",""price"":187,""stock"":50},{""weight"":""2 Kg"",""price"":358,""stock"":50},{""weight"":""5 Kg"",""price"":853,""stock"":50}]"
"Muskmelon (खरबूजा)","Fruits",15,20,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406073128.jpg","Farm fresh Muskmelon (खरबूजा) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":15,""stock"":50},{""weight"":""500 Gram"",""price"":15,""stock"":50},{""weight"":""1 Kg"",""price"":51,""stock"":50},{""weight"":""2 Kg"",""price"":98,""stock"":50},{""weight"":""5 Kg"",""price"":233,""stock"":50}]"
"Orange (संतरे)","Fruits",25,33,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406072710.jpg","Farm fresh Orange (संतरे) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":25,""stock"":50},{""weight"":""500 Gram"",""price"":25,""stock"":50},{""weight"":""1 Kg"",""price"":85,""stock"":50},{""weight"":""2 Kg"",""price"":163,""stock"":50},{""weight"":""5 Kg"",""price"":388,""stock"":50}]"
"Papaya (पपीता)","Fruits",20,26,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406072755.jpg","Farm fresh Papaya (पपीता) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":20,""stock"":50},{""weight"":""500 Gram"",""price"":20,""stock"":50},{""weight"":""1 Kg"",""price"":68,""stock"":50},{""weight"":""2 Kg"",""price"":130,""stock"":50},{""weight"":""5 Kg"",""price"":310,""stock"":50}]"
"Water melon (तरबूज)","Fruits",20,26,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406073008.jpg","Farm fresh Water melon (तरबूज) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":20,""stock"":50},{""weight"":""500 Gram"",""price"":20,""stock"":50},{""weight"":""1 Kg"",""price"":68,""stock"":50},{""weight"":""2 Kg"",""price"":130,""stock"":50},{""weight"":""5 Kg"",""price"":310,""stock"":50}]"
