name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Apples","Fruits",400,400,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/apples-clean.png?v=1787584123","Apples (SubziQuick Farm Fresh Trusted) – Fresh Apples in Bhopal Selected from farms we trust. Not blindly sourced. Fresh apples sourced from partner farms we’ve personally vetted. Firm, consistent, and chosen for everyday eating—delivered with clean handling and re...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":120,""stock"":40},{""weight"":""500g"",""price"":220,""stock"":50},{""weight"":""1 kg"",""price"":400,""stock"":60}]"
"Celery","Exotics",56,70,"100g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/celery-clean.png?v=1787584190","Celery (SubziQuick Farm Fresh Grown) – Fresh Hydroponic Celery in Bhopal Harvested fresh. Not stored for days. Fresh celery grown hydroponically at SubziQuick Certified Farm in Bhopal. Crisp stalks, clean handling, and consistent freshness—ready to use without the usual prep. C...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""100g Pack"",""price"":56,""stock"":50},{""weight"":""200g (Twin Pack)"",""price"":106,""stock"":40}]"
"Okra (Bhindi)","Exotics",30,56,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/okra-bhindi-1-clean.png?v=1787584433","Okra (Bhindi) (SubziQuick Farm Fresh Grown) – Fresh Bhindi in Bhopal Harvested fresh. Not stored for days. Fresh okra grown at SubziQuick Certified Farm in Bhopal. Tender, clean, and consistent—ready to cook without the usual sorting and repeated washing. Soft pods. Less fibre....","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":17,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60}]"
"Bottle Gourd (लौकी)","Vegetables",60,75,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/bottle-gourd-fixed.png?v=1787586237","Bottle Gourd (लौकी) (SubziQuick Farm Fresh Grown) – Fresh Lauki in Bhopal Harvested fresh. Not stored for days. Fresh bottle gourd grown at SubziQuick Certified Farm in Bhopal. Tender, clean, and consistent—ready to cook without the usual sorting and repeated washing. Soft text...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":18,""stock"":40},{""weight"":""500g"",""price"":33,""stock"":50},{""weight"":""1 kg"",""price"":60,""stock"":60}]"
"Sweet Basil","Exotics",24,30,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/sweet-basil-clean.png?v=1787584286","Infuse your dishes with the aromatic magic of SubziQuick Farm Fresh's Sweet Basil—fresh, fragrant, and the secret ingredient to culinary masterpieces! Nutritional Benefits: Loaded with antioxidants, anti-inflammatory properties, and essential oils, sweet basil supp...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":24,""stock"":60}]"
"Baby Spinach","Exotics",48,60,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/baby-spinach-clean.png?v=1787584201","Baby Spinach (SubziQuick Farm Fresh Grown) – Fresh Hydroponic Spinach in Bhopal Harvested fresh. Not stored for days. Fresh baby spinach grown hydroponically at SubziQuick Certified Farm in Bhopal. Tender leaves, clean handling, and ready to use —without the usual sorting and c...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":14,""stock"":40},{""weight"":""500g"",""price"":26,""stock"":50},{""weight"":""1 kg"",""price"":48,""stock"":60}]"
"Jalapeno Pepper","Exotics",75,60,"100g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/jalapeno-clean.png?v=1787584385","Fresh Jalapeno Pepper from SubziQuick Certified Farm Experience the fiery flavor and crisp texture of SubziQuick Certified Farm' jalapeno pepper. Grown with care and expertise, these peppers are a true testament to our commitment to quality and freshness. At SubziQuick Certified Farm, we ...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""100g Pack"",""price"":75,""stock"":50},{""weight"":""200g (Twin Pack)"",""price"":143,""stock"":40}]"
"Yellow Dragon Fruit","Exotics",260,325,"1 Pc",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/yellow-dragon-fruit-clean.png?v=1787584295","Yellow Dragon Fruit (SubziQuick Farm Fresh Trusted) – Fresh Yellow Pitaya in Bhopal Selected from farms we trust. Not blindly sourced. Yellow dragon fruit — also known as yellow pitaya or Selenicereus megalanthus — is the sweetest variety in the dragon fruit family...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""1 Pc"",""price"":260,""stock"":50}]"
"Sem (Broad) Beans","Vegetables",25,31,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/sem-broad-beans-clean.png?v=1787584440","Sem Beans – Ozone Washed Fresh Sem Beans , carefully sourced and ozone washed to reduce surface contaminants. Tender, flat beans hygienically packed for everyday home cooking. Buy Sem Beans (Ozone Washed) Online Sem beans, also known as flat beans or...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":25,""stock"":60}]"
"Elaichi Banana","Fruits",110,138,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/elaichi-banana-clean.png?v=1787584107","Elaichi Banana (SubziQuick Farm Fresh Trusted) – Fresh Elaichi Banana in Bhopal Selected from farms we trust. Not blindly sourced. Fresh elaichi bananas sourced from partner farms we’ve personally vetted. Smaller in size, naturally sweeter, and more aromatic than r...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":33,""stock"":40},{""weight"":""500g"",""price"":61,""stock"":50},{""weight"":""1 kg"",""price"":110,""stock"":60}]"
"Sunset Peppers","Exotics",92,115,"250g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/sunset-peppers-1-fixed.png?v=1787586633","Sunset Peppers – Fresh Peppers Spice up your meals with the stunning Sunset Peppers—a burst of color and flavor! These vibrant peppers are perfect for brightening up your dishes, from crunchy salads to sizzling stir-fries. Grown with love, delivered ...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g Pack"",""price"":92,""stock"":50},{""weight"":""500g (Twin Pack)"",""price"":175,""stock"":40}]"
"Avocado - 1 Pc.","Exotics",180,220,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/avocado-hass-1-clean.png?v=1787584073","Avocado (Hass) Creamy. Buttery. Naturally clean. Product Description Avocados are known for their rich, buttery texture and mild nutty flavor. These Hass avocados are perfect for everything from morning toast to fresh guacamole. At SubziQuick Certified Farm, we s...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":54,""stock"":40},{""weight"":""500g"",""price"":99,""stock"":50},{""weight"":""1 kg"",""price"":180,""stock"":60}]"
"Dragon Fruit","Exotics",149,169,"1 Pc",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/dragon-fruit-1-pc-clean.png?v=1787584091","Exotic Delight of Vietnamese Dragon Fruit Indulge in the vibrant and refreshing taste of our Vietnamese Dragon Fruit, exclusively available at SubziQuick Certified Farm. Known for its striking pink skin and sweet, juicy flesh, this tropical fruit is not only a fe...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""1 Pc"",""price"":149,""stock"":50},{""weight"":""3 Pc"",""price"":429,""stock"":50},{""weight"":""9 Pc"",""price"":1099,""stock"":50}]"
"Vishnu Bhog Rice","Vegetables",187,234,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/vishnu-bhog-rice-fixed.png?v=1787586215","Bhopal farm-fresh Vishnu Bhog Rice. Harvested before delivery, ozone washed, pesticide-free, no shortcuts. Pure farm nutrition directly to your doorstep in Bhopal.","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":56,""stock"":40},{""weight"":""500g"",""price"":103,""stock"":50},{""weight"":""1 kg"",""price"":187,""stock"":60}]"
"Urad Dhuli","Vegetables",279,349,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/urad-dhuli-1-fixed.png?v=1787586180","Bhopal farm-fresh Urad Dhuli. Harvested before delivery, ozone washed, pesticide-free, no shortcuts. Pure farm nutrition directly to your doorstep in Bhopal.","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":279,""stock"":50},{""weight"":""500 g"",""price"":153,""stock"":50},{""weight"":""1.5 kg"",""price"":398,""stock"":50}]"
"Urad Dal Chilka","Vegetables",239,299,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/urad-dal-chilka-1-fixed.png?v=1787586160","Bhopal farm-fresh Urad Dal Chilka. Harvested before delivery, ozone washed, pesticide-free, no shortcuts. Pure farm nutrition directly to your doorstep in Bhopal.","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":239,""stock"":50},{""weight"":""500 g"",""price"":131,""stock"":50},{""weight"":""1.5 kg"",""price"":341,""stock"":50}]"
"Unpolished Chana Dal","Vegetables",189,236,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/unpolished-chana-dal-2-fixed.png?v=1787586378","Naturally processed chana dal with firm texture and rich taste. Unpolished for better flavour and cooking quality....","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":189,""stock"":50},{""weight"":""500 g"",""price"":104,""stock"":50},{""weight"":""1.5 kg"",""price"":269,""stock"":50}]"
"Unpolished Masoor Dal","Vegetables",219,274,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/unpolished-masoor-dal-3-fixed.png?v=1787586318","Naturally processed, unpolished masoor dal with its original colour and flavour preserved. Clean, simple, and reliable for daily meals. Key Points Unpolished, no artificial colouring Even cooking, consistent grains Light on the stomach Ideal for ever...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":219,""stock"":50},{""weight"":""500 g"",""price"":120,""stock"":50},{""weight"":""1.5 kg"",""price"":312,""stock"":50}]"
"Kabuli Chana (White Chickpeas)","Vegetables",249,311,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/kabuli-chana-white-chickpeas-1-clean.png?v=1787584232","Premium Kabuli Chana (White Chickpeas) Carefully sourced and selected for uniform size, clean appearance, and consistent cooking quality. Naturally dried and hygienically packed for everyday cooking. Kabuli chana, commonly known as white chickpeas , ...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":249,""stock"":50},{""weight"":""500 g"",""price"":137,""stock"":50},{""weight"":""1.5 kg"",""price"":355,""stock"":50}]"
"Unpolished Rajma","Vegetables",299,374,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/unpolished-rajma-3-fixed.png?v=1787586381","Buy unpolished rajma from SubziQuick Certified Farm. Naturally processed, clean grains with rich taste and even cooking. Ideal for everyday rajma chawal....","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":299,""stock"":50},{""weight"":""500 g"",""price"":164,""stock"":50},{""weight"":""1.5 kg"",""price"":426,""stock"":50}]"
"Moong Dal","Vegetables",279,349,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/moong-dal-1-fixed.png?v=1787586286","Bhopal farm-fresh Moong Dal. Harvested before delivery, ozone washed, pesticide-free, no shortcuts. Pure farm nutrition directly to your doorstep in Bhopal.","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":279,""stock"":50},{""weight"":""500 g"",""price"":153,""stock"":50},{""weight"":""1.5 kg"",""price"":398,""stock"":50}]"
"Unpolished Whole Moong","Vegetables",329,411,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/unpolished-whole-moong-fixed.png?v=1787586277","Whole green moong with natural skin intact. Ideal for sprouting, light dals, and everyday meals....","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":329,""stock"":50},{""weight"":""500 g"",""price"":181,""stock"":50},{""weight"":""1.5 kg"",""price"":469,""stock"":50}]"
"Unpolished Toor Dal","Vegetables",329,411,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/unpolished-toor-dal-3-clean.png?v=1787584445","Clean, unpolished toor dal with natural aroma and taste. Carefully sourced and packed for regular home cooking. Use Dal tadka, sambar, varan...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":329,""stock"":50},{""weight"":""500 g"",""price"":181,""stock"":50},{""weight"":""1.5 kg"",""price"":469,""stock"":50}]"
"Sharbati Atta (Stone Ground)","Vegetables",89,111,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/sharbati-atta-stone-ground-2-fixed.png?v=1787586125","Buy sharbati atta from SubziQuick Certified Farm. Stone-ground wheat flour with soft texture and mild sweetness. Ideal for everyday rotis....","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""1 kg"",""price"":89,""stock"":50},{""weight"":""500 g"",""price"":49,""stock"":50},{""weight"":""1.5 kg"",""price"":127,""stock"":50}]"
"Cabbage","Vegetables",22,28,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/cabbage-clean.png?v=1787584229","Cabbage (SubziQuick Farm Fresh Daily) – Cleaned & Fresh Cabbage in Bhopal Sourced daily. Cleaned before delivery. Fresh cabbage sourced from the Farm Direct and handled at SubziQuick Certified Farm. Selected for quality, sorted properly, and cleaned before reaching you—ready for ever...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":22,""stock"":60}]"
"Ginger","Vegetables",22,28,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/ginger-fixed.png?v=1787586722","Ginger (SubziQuick Farm Fresh Daily) – Cleaned & Fresh Ginger in Bhopal Sourced daily. Cleaned before delivery. Fresh ginger sourced from the Farm Direct and handled at SubziQuick Certified Farm. Selected for quality, cleaned properly, and delivered ready to use for everyday cooking....","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":22,""stock"":60}]"
"Gawar Beans","Vegetables",30,38,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/gawar-beans-fixed.png?v=1787586081","Gawar Beans (SubziQuick Farm Fresh Daily) – Cleaned & Fresh Gawar in Bhopal Sourced daily. Cleaned before delivery. Fresh gawar beans sourced from the Farm Direct and handled at SubziQuick Certified Farm. Selected for quality, sorted properly, and cleaned before reaching you—ready fo...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":17,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60}]"
"Cauliflower","Vegetables",49,61,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/cauliflower-clean.png?v=1787584438","Cauliflower (SubziQuick Farm Fresh Daily) – Cleaned & Fresh Cauliflower in Bhopal Sourced daily. Cleaned before delivery. Fresh cauliflower sourced from the Farm Direct and handled at SubziQuick Certified Farm. Selected for quality, cleaned properly, and delivered fresh for everyday ...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":15,""stock"":40},{""weight"":""500g"",""price"":27,""stock"":50},{""weight"":""1 kg"",""price"":49,""stock"":60}]"
"Garlic","Vegetables",48,60,"100g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/garlic-clean.png?v=1787584461","Garlic (SubziQuick Farm Fresh Grown) – Fresh Garlic in Bhopal Harvested fresh. Not stored for days. Fresh garlic grown at SubziQuick Certified Farm in Bhopal. Clean, firm, and consistent—ready to use without the usual sorting and cleaning. Strong aroma. Daily essential. What “B...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""100g Pack"",""price"":48,""stock"":50},{""weight"":""200g (Twin Pack)"",""price"":91,""stock"":40}]"
"Red Cherry Tomatoes","Exotics",75,94,"250g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/red-cherry-tomatoes-clean.png?v=1787584458","Red Cherry Tomatoes (SubziQuick Farm Fresh Grown) – Fresh Hydroponic Cherry Tomatoes in Bhopal Harvested fresh. Not stored for days. Fresh red cherry tomatoes grown hydroponically at SubziQuick Certified Farm in Bhopal. Naturally sweet, firm, and consistent—ready to eat straigh...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g Pack"",""price"":75,""stock"":50},{""weight"":""500g (Twin Pack)"",""price"":143,""stock"":40}]"
"Bajra Atta","Vegetables",90,113,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/bajra-atta-fixed.png?v=1787586289","Bajra Atta (Pearl Millet Flour) Premium Bajra Atta (Pearl Millet Flour) , made from carefully sourced bajra grains and milled to a consistent texture. Unpolished, clean flour suitable for everyday cooking and traditional Indian preparations. Buy Bajr...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":27,""stock"":40},{""weight"":""500g"",""price"":50,""stock"":50},{""weight"":""1 kg"",""price"":90,""stock"":60}]"
"Green Chillies","Exotics",22,28,"100g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/green-chillies-clean.png?v=1787584157","Green Chillies (SubziQuick Farm Fresh Grown) – Fresh Green Chillies in Bhopal Harvested fresh. Not stored for days. Fresh green chillies grown at SubziQuick Certified Farm in Bhopal. Clean, consistent, and used daily—ready to add heat to your cooking without extra sorting or wa...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""100g Pack"",""price"":22,""stock"":50},{""weight"":""200g (Twin Pack)"",""price"":42,""stock"":40}]"
"Gilki (Sponge Gourd)","Vegetables",90,113,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/gilki-sponge-gourd-clean.png?v=1787584198","Gilki (Sponge Gourd) – Ozone Washed Fresh Gilki (Sponge Gourd) , carefully sourced and ozone washed to reduce surface contaminants. Tender, light, and hygienically packed for everyday home cooking. Buy Gilki (Sponge Gourd) Online Gilki, also known as...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":27,""stock"":40},{""weight"":""500g"",""price"":50,""stock"":50},{""weight"":""1 kg"",""price"":90,""stock"":60}]"
