name,category,price,unit,stock,image,description,sourcing,storage,variations
"Green Chili-Feeki (हरी मिर्च - फीकी)","Vegetables",99,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Green Chili-Feeki (हरी मिर्च - फीकी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":28,""stock"":40},{""weight"":""500g"",""price"":51,""stock"":50},{""weight"":""1 kg"",""price"":99,""stock"":60},{""weight"":""2 kg"",""price"":193,""stock"":30}]"
"Coriander leaves (धनिया पत्ती)","Vegetables",99,"1 kg",80,"https://images.unsplash.com/photo-1588879462716-59a60714b18c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Coriander leaves (धनिया पत्ती) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":28,""stock"":40},{""weight"":""500g"",""price"":51,""stock"":50},{""weight"":""1 kg"",""price"":99,""stock"":60},{""weight"":""2 kg"",""price"":193,""stock"":30}]"
"Capsicum ( शिमला मिर्च)","Vegetables",98,"1 kg",80,"https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?auto=format&fit=crop&w=600&q=80","100% farm-fresh Capsicum ( शिमला मिर्च) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":27,""stock"":40},{""weight"":""500g"",""price"":51,""stock"":50},{""weight"":""1 kg"",""price"":98,""stock"":60},{""weight"":""2 kg"",""price"":191,""stock"":30}]"
"Salad Carrot (सलाद गाजर)","Vegetables",68,"1 kg",80,"https://images.unsplash.com/photo-1598170845058-32b9d6a5c317?auto=format&fit=crop&w=600&q=80","100% farm-fresh Salad Carrot (सलाद गाजर) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":19,""stock"":40},{""weight"":""500g"",""price"":35,""stock"":50},{""weight"":""1 kg"",""price"":68,""stock"":60},{""weight"":""2 kg"",""price"":133,""stock"":30}]"
"Cauliflower (फूल गोभी)","Vegetables",98,"1 kg",80,"https://images.unsplash.com/photo-1568584711075-3d021a7c3ca3?auto=format&fit=crop&w=600&q=80","100% farm-fresh Cauliflower (फूल गोभी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":27,""stock"":40},{""weight"":""500g"",""price"":51,""stock"":50},{""weight"":""1 kg"",""price"":98,""stock"":60},{""weight"":""2 kg"",""price"":191,""stock"":30}]"
"Cabbage (पत्ता गोभी)","Vegetables",64,"1 kg",80,"https://images.unsplash.com/photo-1611105637996-0352c38d41e7?auto=format&fit=crop&w=600&q=80","100% farm-fresh Cabbage (पत्ता गोभी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":18,""stock"":40},{""weight"":""500g"",""price"":33,""stock"":50},{""weight"":""1 kg"",""price"":64,""stock"":60},{""weight"":""2 kg"",""price"":125,""stock"":30}]"
"Bottle gouard (लौकी )","Vegetables",58,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Bottle gouard (लौकी ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":16,""stock"":40},{""weight"":""500g"",""price"":30,""stock"":50},{""weight"":""1 kg"",""price"":58,""stock"":60},{""weight"":""2 kg"",""price"":113,""stock"":30}]"
"Gilki (गिलकी )","Vegetables",88,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Gilki (गिलकी ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":25,""stock"":40},{""weight"":""500g"",""price"":46,""stock"":50},{""weight"":""1 kg"",""price"":88,""stock"":60},{""weight"":""2 kg"",""price"":172,""stock"":30}]"
"Black Bringle Small (काले बैगन)","Vegetables",54,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Black Bringle Small (काले बैगन) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":15,""stock"":40},{""weight"":""500g"",""price"":28,""stock"":50},{""weight"":""1 kg"",""price"":54,""stock"":60},{""weight"":""2 kg"",""price"":105,""stock"":30}]"
"Green Bringle (हरा बैगन)","Vegetables",54,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Green Bringle (हरा बैगन) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":15,""stock"":40},{""weight"":""500g"",""price"":28,""stock"":50},{""weight"":""1 kg"",""price"":54,""stock"":60},{""weight"":""2 kg"",""price"":105,""stock"":30}]"
"Long Black Bringle (काले बैगन-लंबे)","Vegetables",54,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Long Black Bringle (काले बैगन-लंबे) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":15,""stock"":40},{""weight"":""500g"",""price"":28,""stock"":50},{""weight"":""1 kg"",""price"":54,""stock"":60},{""weight"":""2 kg"",""price"":105,""stock"":30}]"
"Bharta Bringle (भरता बैगन)","Vegetables",76,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Bharta Bringle (भरता बैगन) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":21,""stock"":40},{""weight"":""500g"",""price"":40,""stock"":50},{""weight"":""1 kg"",""price"":76,""stock"":60},{""weight"":""2 kg"",""price"":148,""stock"":30}]"
"Lady Finger (भिंडी )","Vegetables",68,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Lady Finger (भिंडी ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":19,""stock"":40},{""weight"":""500g"",""price"":35,""stock"":50},{""weight"":""1 kg"",""price"":68,""stock"":60},{""weight"":""2 kg"",""price"":133,""stock"":30}]"
"Pumpkin (कद्दू)","Vegetables",44,"1 kg",80,"https://images.unsplash.com/photo-1506917728037-b6fb01c450a6?auto=format&fit=crop&w=600&q=80","100% farm-fresh Pumpkin (कद्दू) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":12,""stock"":40},{""weight"":""500g"",""price"":23,""stock"":50},{""weight"":""1 kg"",""price"":44,""stock"":60},{""weight"":""2 kg"",""price"":86,""stock"":30}]"
"Tinda (टिंडा)","Vegetables",98,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Tinda (टिंडा) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":27,""stock"":40},{""weight"":""500g"",""price"":51,""stock"":50},{""weight"":""1 kg"",""price"":98,""stock"":60},{""weight"":""2 kg"",""price"":191,""stock"":30}]"
"Cluster Beans (गवार फल्ली )","Vegetables",108,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Cluster Beans (गवार फल्ली ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":30,""stock"":40},{""weight"":""500g"",""price"":56,""stock"":50},{""weight"":""1 kg"",""price"":108,""stock"":60},{""weight"":""2 kg"",""price"":211,""stock"":30}]"
"Sem (सेम)","Vegetables",98,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Sem (सेम) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":27,""stock"":40},{""weight"":""500g"",""price"":51,""stock"":50},{""weight"":""1 kg"",""price"":98,""stock"":60},{""weight"":""2 kg"",""price"":191,""stock"":30}]"
"Kundru (कुंदरू)","Vegetables",88,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Kundru (कुंदरू) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":25,""stock"":40},{""weight"":""500g"",""price"":46,""stock"":50},{""weight"":""1 kg"",""price"":88,""stock"":60},{""weight"":""2 kg"",""price"":172,""stock"":30}]"
"Kareli (करेली )","Vegetables",88,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Kareli (करेली ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":25,""stock"":40},{""weight"":""500g"",""price"":46,""stock"":50},{""weight"":""1 kg"",""price"":88,""stock"":60},{""weight"":""2 kg"",""price"":172,""stock"":30}]"
"Parwal (परवल)","Vegetables",92,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Parwal (परवल) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":26,""stock"":40},{""weight"":""500g"",""price"":48,""stock"":50},{""weight"":""1 kg"",""price"":92,""stock"":60},{""weight"":""2 kg"",""price"":179,""stock"":30}]"
"Cucumber (खीरा/ककड़ी)","Vegetables",45,"1 kg",80,"https://images.unsplash.com/photo-1449300079323-02e209d9d3a6?auto=format&fit=crop&w=600&q=80","100% farm-fresh Cucumber (खीरा/ककड़ी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":13,""stock"":40},{""weight"":""500g"",""price"":23,""stock"":50},{""weight"":""1 kg"",""price"":45,""stock"":60},{""weight"":""2 kg"",""price"":88,""stock"":30}]"
"Lemon (नीम्बू)","Vegetables",5,"1 kg",80,"https://images.unsplash.com/photo-1533082603893-a1c834889ec9?auto=format&fit=crop&w=600&q=80","100% farm-fresh Lemon (नीम्बू) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":1,""stock"":40},{""weight"":""500g"",""price"":3,""stock"":50},{""weight"":""1 kg"",""price"":5,""stock"":60},{""weight"":""2 kg"",""price"":10,""stock"":30}]"
"Arbi ( अरबी)","Vegetables",72,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Arbi ( अरबी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":20,""stock"":40},{""weight"":""500g"",""price"":37,""stock"":50},{""weight"":""1 kg"",""price"":72,""stock"":60},{""weight"":""2 kg"",""price"":140,""stock"":30}]"
"Karela (करेला )","Vegetables",88,"1 kg",80,"https://images.unsplash.com/photo-1598170845058-32b9d6a5c317?auto=format&fit=crop&w=600&q=80","100% farm-fresh Karela (करेला ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":25,""stock"":40},{""weight"":""500g"",""price"":46,""stock"":50},{""weight"":""1 kg"",""price"":88,""stock"":60},{""weight"":""2 kg"",""price"":172,""stock"":30}]"
"Drum Sticks (मूंगा फली )","Vegetables",146,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Drum Sticks (मूंगा फली ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":41,""stock"":40},{""weight"":""500g"",""price"":76,""stock"":50},{""weight"":""1 kg"",""price"":146,""stock"":60},{""weight"":""2 kg"",""price"":285,""stock"":30}]"
"Beet Root (चुकंदर)","Vegetables",64,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Beet Root (चुकंदर) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":18,""stock"":40},{""weight"":""500g"",""price"":33,""stock"":50},{""weight"":""1 kg"",""price"":64,""stock"":60},{""weight"":""2 kg"",""price"":125,""stock"":30}]"
"beans (बीन्स)","Vegetables",140,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh beans (बीन्स) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":39,""stock"":40},{""weight"":""500g"",""price"":73,""stock"":50},{""weight"":""1 kg"",""price"":140,""stock"":60},{""weight"":""2 kg"",""price"":273,""stock"":30}]"
"Barbati ( बरबटी)","Vegetables",72,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Barbati ( बरबटी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":20,""stock"":40},{""weight"":""500g"",""price"":37,""stock"":50},{""weight"":""1 kg"",""price"":72,""stock"":60},{""weight"":""2 kg"",""price"":140,""stock"":30}]"
"Kakoda (देशी ककोड़ा)","Vegetables",220,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Kakoda (देशी ककोड़ा) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":62,""stock"":40},{""weight"":""500g"",""price"":114,""stock"":50},{""weight"":""1 kg"",""price"":220,""stock"":60},{""weight"":""2 kg"",""price"":429,""stock"":30}]"
"Kimia Dates (कीमिया खजूर)","Fruits",190,"1 kg",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Kimia Dates (कीमिया खजूर) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":53,""stock"":40},{""weight"":""500g"",""price"":99,""stock"":50},{""weight"":""1 kg"",""price"":190,""stock"":60},{""weight"":""2 kg"",""price"":371,""stock"":30}]"
"Blueberry (ब्लूबेरी)","Fruits",330,"1 kg",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Blueberry (ब्लूबेरी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":92,""stock"":40},{""weight"":""500g"",""price"":172,""stock"":50},{""weight"":""1 kg"",""price"":330,""stock"":60},{""weight"":""2 kg"",""price"":644,""stock"":30}]"
